Nombre|(º-º)|Plataforma|(º-º)|Año|(º-º)|Genero|(º-º)|Editorial|(º-º)|Ventas NA|(º-º)|Ventas EU|(º-º)|Ventas JP|(º-º)|Ventas Otros|(º-º)|Ventas Global
NCAA Final Four 2004|(º-º)|PS2|(º-º)|2003|(º-º)|Sports|(º-º)|Sony Computer Entertainment|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
IHRA Drag Racing 2004|(º-º)|XB|(º-º)|2003|(º-º)|Racing|(º-º)|Bethesda Softworks|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Gladius|(º-º)|PS2|(º-º)|2003|(º-º)|Strategy|(º-º)|Activision|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Tetris Worlds (Online Edition)|(º-º)|XB|(º-º)|2003|(º-º)|Puzzle|(º-º)|THQ|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Backyard Hockey|(º-º)|GBA|(º-º)|2003|(º-º)|Sports|(º-º)|Atari|(º-º)|0,14|(º-º)|0,05|(º-º)|0|(º-º)|0|(º-º)|0,2
The Great Escape|(º-º)|PS2|(º-º)|2003|(º-º)|Action|(º-º)|SCi|(º-º)|0,1|(º-º)|0,07|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Beyblade G-Revolution|(º-º)|GBA|(º-º)|2004|(º-º)|Action|(º-º)|Atari|(º-º)|0,15|(º-º)|0,05|(º-º)|0|(º-º)|0|(º-º)|0,2
Capcom Fighting Evolution|(º-º)|PS2|(º-º)|2004|(º-º)|Fighting|(º-º)|Capcom|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Saturday Night Speedway|(º-º)|PS2|(º-º)|2004|(º-º)|Racing|(º-º)|Play It|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Pitfall: The Lost Expedition|(º-º)|PS2|(º-º)|2004|(º-º)|Platform|(º-º)|Activision|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
ESPN MLB Baseball|(º-º)|PS2|(º-º)|2004|(º-º)|Sports|(º-º)|Sega|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
The Fairly Odd Parents: Shadow Showdown|(º-º)|GC|(º-º)|2004|(º-º)|Platform|(º-º)|THQ|(º-º)|0,16|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Ty the Tasmanian Tiger 2: Bush Rescue|(º-º)|GC|(º-º)|2004|(º-º)|Platform|(º-º)|Electronic Arts|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Star Wars: Battlefront|(º-º)|PC|(º-º)|2004|(º-º)|Shooter|(º-º)|LucasArts|(º-º)|0,06|(º-º)|0,12|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Shark Tale|(º-º)|XB|(º-º)|2004|(º-º)|Action|(º-º)|Activision|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
NFL Street 2|(º-º)|GC|(º-º)|2004|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Taiko no Tatsujin: Go! Go! Godaime|(º-º)|PS2|(º-º)|2004|(º-º)|Misc|(º-º)|Namco Bandai Games|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
Taiko Drum Master|(º-º)|PS2|(º-º)|2004|(º-º)|Misc|(º-º)|Namco Bandai Games|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Forgotten Realms: Demon Stone|(º-º)|PS2|(º-º)|2004|(º-º)|Action|(º-º)|Atari|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
MC Groovz Dance Craze|(º-º)|GC|(º-º)|2004|(º-º)|Misc|(º-º)|Mad Catz|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Prince of Persia: Warrior Within|(º-º)|GC|(º-º)|2004|(º-º)|Action|(º-º)|Ubisoft|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Backyard NFL Football 2006|(º-º)|PS2|(º-º)|2005|(º-º)|Sports|(º-º)|Atari|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Suikoden Tactics|(º-º)|PS2|(º-º)|2005|(º-º)|Strategy|(º-º)|Konami Digital Entertainment|(º-º)|0,06|(º-º)|0,05|(º-º)|0,07|(º-º)|0,02|(º-º)|0,2
NCAA March Madness 06|(º-º)|XB|(º-º)|2005|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
CandyLand / Chutes & Ladders / Memory|(º-º)|GBA|(º-º)|2005|(º-º)|Misc|(º-º)|Zoo Digital Publishing|(º-º)|0,15|(º-º)|0,05|(º-º)|0|(º-º)|0|(º-º)|0,2
The Bible Game|(º-º)|PS2|(º-º)|2005|(º-º)|Misc|(º-º)|Crave Entertainment|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Bratz: Rock Angelz|(º-º)|GC|(º-º)|2005|(º-º)|Misc|(º-º)|THQ|(º-º)|0,16|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Dead to Rights II|(º-º)|PS2|(º-º)|2005|(º-º)|Shooter|(º-º)|Electronic Arts|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Ridge Racer 6|(º-º)|X360|(º-º)|2005|(º-º)|Racing|(º-º)|Namco Bandai Games|(º-º)|0,1|(º-º)|0,02|(º-º)|0,07|(º-º)|0,01|(º-º)|0,2
The Chronicles of Narnia: The Lion, The Witch and The Wardrobe|(º-º)|XB|(º-º)|2005|(º-º)|Action|(º-º)|Disney Interactive Studios|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
The Con|(º-º)|PSP|(º-º)|2005|(º-º)|Fighting|(º-º)|Sony Computer Entertainment|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Namco Museum: 50th Anniversary|(º-º)|GBA|(º-º)|2005|(º-º)|Misc|(º-º)|Namco Bandai Games|(º-º)|0,14|(º-º)|0,05|(º-º)|0|(º-º)|0|(º-º)|0,2
From Russia With Love|(º-º)|XB|(º-º)|2005|(º-º)|Action|(º-º)|Electronic Arts|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Teenage Mutant Ninja Turtles 3: Mutant Nightmare|(º-º)|PS2|(º-º)|2005|(º-º)|Action|(º-º)|Konami Digital Entertainment|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Harry Potter and the Goblet of Fire|(º-º)|PSP|(º-º)|2005|(º-º)|Action|(º-º)|Electronic Arts|(º-º)|0,17|(º-º)|0,01|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Playboy: The Mansion|(º-º)|PS2|(º-º)|2005|(º-º)|Simulation|(º-º)|Ubisoft|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Tiger Woods PGA Tour 06|(º-º)|PSP|(º-º)|2005|(º-º)|Sports|(º-º)|Electronic Arts|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Predator: Concrete Jungle|(º-º)|PS2|(º-º)|2005|(º-º)|Action|(º-º)|Vivendi Games|(º-º)|0,1|(º-º)|0,07|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Big Mutha Truckers 2|(º-º)|PS2|(º-º)|2005|(º-º)|Racing|(º-º)|Xplosiv|(º-º)|0,1|(º-º)|0,07|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Thrillville|(º-º)|PSP|(º-º)|2006|(º-º)|Strategy|(º-º)|Atari|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Mobile Suit Gundam: Crossfire|(º-º)|PS3|(º-º)|2006|(º-º)|Simulation|(º-º)|Namco Bandai Games|(º-º)|0,06|(º-º)|0|(º-º)|0,14|(º-º)|0,01|(º-º)|0,2
Midnight Club 3: DUB Edition Remix|(º-º)|XB|(º-º)|2006|(º-º)|Racing|(º-º)|Take-Two Interactive|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
The King of Fighters Collection: The Orochi Saga|(º-º)|PS2|(º-º)|2006|(º-º)|Fighting|(º-º)|Ignition Entertainment|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Cars|(º-º)|XB|(º-º)|2006|(º-º)|Racing|(º-º)|THQ|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
NBA 07|(º-º)|PSP|(º-º)|2006|(º-º)|Sports|(º-º)|Sony Computer Entertainment|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Untold Legends: Dark Kingdom|(º-º)|PS3|(º-º)|2006|(º-º)|Role-Playing|(º-º)|Electronic Arts|(º-º)|0,14|(º-º)|0,02|(º-º)|0,02|(º-º)|0,02|(º-º)|0,2
Tom Clancy's Splinter Cell: Essentials|(º-º)|PSP|(º-º)|2006|(º-º)|Shooter|(º-º)|Ubisoft|(º-º)|0,17|(º-º)|0,01|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Armored Core 4|(º-º)|PS3|(º-º)|2006|(º-º)|Simulation|(º-º)|505 Games|(º-º)|0,09|(º-º)|0|(º-º)|0,09|(º-º)|0,01|(º-º)|0,2
Puzzle Challenge: Crosswords and More!|(º-º)|PSP|(º-º)|2006|(º-º)|Puzzle|(º-º)|Crave Entertainment|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan|(º-º)|DS|(º-º)|2006|(º-º)|Misc|(º-º)|Shogakukan|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
Family Guy|(º-º)|PSP|(º-º)|2006|(º-º)|Action|(º-º)|Take-Two Interactive|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Enchanted Arms|(º-º)|PS3|(º-º)|2007|(º-º)|Role-Playing|(º-º)|Ubisoft|(º-º)|0,17|(º-º)|0,01|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Sengoku Basara 2 Heroes|(º-º)|PS2|(º-º)|2007|(º-º)|Action|(º-º)|Capcom|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
Clive Barker's Jericho|(º-º)|PS3|(º-º)|2007|(º-º)|Shooter|(º-º)|Codemasters|(º-º)|0,17|(º-º)|0,01|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Monster Jam|(º-º)|X360|(º-º)|2007|(º-º)|Racing|(º-º)|Activision|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Cabela's Big Game Hunter (2008)|(º-º)|PS2|(º-º)|2007|(º-º)|Sports|(º-º)|Activision Value|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Soldier of Fortune: Payback|(º-º)|X360|(º-º)|2007|(º-º)|Shooter|(º-º)|Activision|(º-º)|0,18|(º-º)|0,01|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Sid Meier's Pirates!|(º-º)|PSP|(º-º)|2007|(º-º)|Strategy|(º-º)|Take-Two Interactive|(º-º)|0,16|(º-º)|0,01|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Conan|(º-º)|X360|(º-º)|2007|(º-º)|Action|(º-º)|THQ|(º-º)|0,16|(º-º)|0,02|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Ratatouille|(º-º)|GBA|(º-º)|2007|(º-º)|Action|(º-º)|THQ|(º-º)|0,14|(º-º)|0,05|(º-º)|0|(º-º)|0|(º-º)|0,2
Warriors Orochi|(º-º)|X360|(º-º)|2007|(º-º)|Action|(º-º)|Tecmo Koei|(º-º)|0,17|(º-º)|0,01|(º-º)|0|(º-º)|0,02|(º-º)|0,2
World Championship Cards|(º-º)|PSP|(º-º)|2008|(º-º)|Misc|(º-º)|Crave Entertainment|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Buzz! The Schools Quiz|(º-º)|PS2|(º-º)|2008|(º-º)|Misc|(º-º)|Sony Computer Entertainment|(º-º)|0|(º-º)|0,02|(º-º)|0|(º-º)|0,19|(º-º)|0,2
Dark Messiah of Might and Magic Elements|(º-º)|X360|(º-º)|2008|(º-º)|Role-Playing|(º-º)|Ubisoft|(º-º)|0,16|(º-º)|0,02|(º-º)|0,01|(º-º)|0,02|(º-º)|0,2
PBR: Out of the Chute|(º-º)|PS2|(º-º)|2008|(º-º)|Sports|(º-º)|Crave Entertainment|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Deal or No Deal: The Banker is Back!|(º-º)|DS|(º-º)|2008|(º-º)|Misc|(º-º)|Mindscape|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0|(º-º)|0,2
Warriors Orochi|(º-º)|PSP|(º-º)|2008|(º-º)|Action|(º-º)|Tecmo Koei|(º-º)|0,02|(º-º)|0|(º-º)|0,18|(º-º)|0|(º-º)|0,2
Tomb Raider: Underworld|(º-º)|DS|(º-º)|2008|(º-º)|Action|(º-º)|Eidos Interactive|(º-º)|0,16|(º-º)|0,03|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Ford Racing Off Road|(º-º)|PS2|(º-º)|2008|(º-º)|Racing|(º-º)|Xplosiv|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
The Cheetah Girls: Passport to Stardom|(º-º)|DS|(º-º)|2008|(º-º)|Misc|(º-º)|Disney Interactive Studios|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
My Secret World by Imagine|(º-º)|DS|(º-º)|2008|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0|(º-º)|0,2
Bleach: The 3rd Phantom|(º-º)|DS|(º-º)|2008|(º-º)|Role-Playing|(º-º)|Sega|(º-º)|0,1|(º-º)|0,02|(º-º)|0,07|(º-º)|0,01|(º-º)|0,2
Record of Agarest War|(º-º)|X360|(º-º)|2008|(º-º)|Role-Playing|(º-º)|Compile Heart|(º-º)|0,18|(º-º)|0|(º-º)|0,01|(º-º)|0,01|(º-º)|0,2
Baja: Edge of Control|(º-º)|X360|(º-º)|2008|(º-º)|Racing|(º-º)|THQ|(º-º)|0,12|(º-º)|0,06|(º-º)|0|(º-º)|0,02|(º-º)|0,2
High School Musical 3: Senior Year DANCE!|(º-º)|X360|(º-º)|2008|(º-º)|Misc|(º-º)|Disney Interactive Studios|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Barbie Horse Adventures: Riding Camp|(º-º)|Wii|(º-º)|2008|(º-º)|Sports|(º-º)|Activision|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Shiren the Wanderer|(º-º)|Wii|(º-º)|2008|(º-º)|Role-Playing|(º-º)|Sega|(º-º)|0,08|(º-º)|0|(º-º)|0,11|(º-º)|0,01|(º-º)|0,2
101-in-1 Explosive Megamix|(º-º)|DS|(º-º)|2008|(º-º)|Puzzle|(º-º)|Nordcurrent|(º-º)|0,05|(º-º)|0,13|(º-º)|0|(º-º)|0,02|(º-º)|0,2
The Naked Brothers Band: The Video Game|(º-º)|DS|(º-º)|2008|(º-º)|Misc|(º-º)|THQ|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Mana Khemia 2: Fall of Alchemy|(º-º)|PS2|(º-º)|2008|(º-º)|Role-Playing|(º-º)|Gust|(º-º)|0,07|(º-º)|0,05|(º-º)|0,05|(º-º)|0,02|(º-º)|0,2
Discovery Kids: Pony Paradise|(º-º)|DS|(º-º)|2009|(º-º)|Simulation|(º-º)|505 Games|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Chronicles of Mystery: Curse of the Ancient Temple|(º-º)|DS|(º-º)|2009|(º-º)|Adventure|(º-º)|City Interactive|(º-º)|0,07|(º-º)|0,11|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Planet 51|(º-º)|Wii|(º-º)|2009|(º-º)|Action|(º-º)|Sega|(º-º)|0,17|(º-º)|0,02|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Sloane to MacHale no Nazo no Monogatari|(º-º)|DS|(º-º)|2009|(º-º)|Puzzle|(º-º)|Level 5|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
My Fitness Coach 2: Exercise and Nutrition|(º-º)|Wii|(º-º)|2009|(º-º)|Sports|(º-º)|Black Bean Games|(º-º)|0,14|(º-º)|0,04|(º-º)|0|(º-º)|0,02|(º-º)|0,2
The Ultimate Red Ball Challenge|(º-º)|Wii|(º-º)|2009|(º-º)|Misc|(º-º)|Mindscape|(º-º)|0|(º-º)|0,19|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Ashes Cricket 2009|(º-º)|X360|(º-º)|2009|(º-º)|Sports|(º-º)|Codemasters|(º-º)|0|(º-º)|0,19|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Dragon Ball: Revenge of King Piccolo|(º-º)|Wii|(º-º)|2009|(º-º)|Action|(º-º)|Namco Bandai Games|(º-º)|0,13|(º-º)|0,03|(º-º)|0,03|(º-º)|0,02|(º-º)|0,2
Spectrobes: Origins|(º-º)|Wii|(º-º)|2009|(º-º)|Role-Playing|(º-º)|Disney Interactive Studios|(º-º)|0,16|(º-º)|0,02|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Marvel: Ultimate Alliance 2|(º-º)|DS|(º-º)|2009|(º-º)|Role-Playing|(º-º)|Activision|(º-º)|0,16|(º-º)|0,03|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Neighborhood Games|(º-º)|Wii|(º-º)|2009|(º-º)|Misc|(º-º)|THQ|(º-º)|0,17|(º-º)|0,02|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Imagine: Babyz Fashion|(º-º)|DS|(º-º)|2009|(º-º)|Simulation|(º-º)|Ubisoft|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Ni Hao, Kai-lan: New Year's Celebration|(º-º)|DS|(º-º)|2009|(º-º)|Misc|(º-º)|Take-Two Interactive|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Press Your Luck 2010 Edition|(º-º)|DS|(º-º)|2009|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Treasure World|(º-º)|DS|(º-º)|2009|(º-º)|Simulation|(º-º)|Aspyr|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Afro Samurai|(º-º)|PS3|(º-º)|2009|(º-º)|Action|(º-º)|Atari|(º-º)|0,12|(º-º)|0,05|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Rock Band Track Pack: Classic Rock|(º-º)|PS2|(º-º)|2009|(º-º)|Misc|(º-º)|MTV Games|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
The BIGS 2|(º-º)|PS2|(º-º)|2009|(º-º)|Sports|(º-º)|Take-Two Interactive|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,03|(º-º)|0,2
We Wish You A Merry Christmas|(º-º)|Wii|(º-º)|2009|(º-º)|Action|(º-º)|Destineer|(º-º)|0,14|(º-º)|0,04|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Spore Hero Arena|(º-º)|DS|(º-º)|2009|(º-º)|Simulation|(º-º)|Electronic Arts|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Go Play: Lumberjacks|(º-º)|Wii|(º-º)|2009|(º-º)|Simulation|(º-º)|Majesco Entertainment|(º-º)|0,18|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
X-Men Origins: Wolverine|(º-º)|DS|(º-º)|2009|(º-º)|Action|(º-º)|Activision|(º-º)|0,15|(º-º)|0,03|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Beyblade: Metal Fusion - Battle Fortress|(º-º)|Wii|(º-º)|2009|(º-º)|Action|(º-º)|Konami Digital Entertainment|(º-º)|0,15|(º-º)|0|(º-º)|0,03|(º-º)|0,01|(º-º)|0,2
Shutter Island|(º-º)|PC|(º-º)|2009|(º-º)|Adventure|(º-º)|Merscom LLC|(º-º)|0|(º-º)|0,17|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Battle of Giants: Dinosaurs Strike|(º-º)|Wii|(º-º)|2010|(º-º)|Strategy|(º-º)|Ubisoft|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Cabela's North American Adventures|(º-º)|Wii|(º-º)|2010|(º-º)|Sports|(º-º)|Activision|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
DarkStar One: Broken Alliance|(º-º)|X360|(º-º)|2010|(º-º)|Simulation|(º-º)|Kalypso Media|(º-º)|0,11|(º-º)|0,08|(º-º)|0|(º-º)|0,02|(º-º)|0,2
MLB 10: The Show|(º-º)|PSP|(º-º)|2010|(º-º)|Sports|(º-º)|Sony Computer Entertainment|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,02|(º-º)|0,2
International Cricket 2010|(º-º)|PS3|(º-º)|2010|(º-º)|Sports|(º-º)|Codemasters|(º-º)|0|(º-º)|0,15|(º-º)|0|(º-º)|0,05|(º-º)|0,2
Front Mission Evolved|(º-º)|X360|(º-º)|2010|(º-º)|Shooter|(º-º)|Square Enix|(º-º)|0,1|(º-º)|0,07|(º-º)|0,02|(º-º)|0,02|(º-º)|0,2
Body and Brain Connection|(º-º)|X360|(º-º)|2010|(º-º)|Misc|(º-º)|Namco Bandai Games|(º-º)|0,1|(º-º)|0,08|(º-º)|0|(º-º)|0,02|(º-º)|0,2
No More Heroes: Heroes' Paradise|(º-º)|PS3|(º-º)|2010|(º-º)|Action|(º-º)|Konami Digital Entertainment|(º-º)|0,1|(º-º)|0,04|(º-º)|0,04|(º-º)|0,02|(º-º)|0,2
Mahjongg Mysteries: Ancient Egypt|(º-º)|DS|(º-º)|2010|(º-º)|Puzzle|(º-º)|Avanquest|(º-º)|0,07|(º-º)|0,11|(º-º)|0|(º-º)|0,02|(º-º)|0,2
CSI: Unsolved!|(º-º)|DS|(º-º)|2010|(º-º)|Adventure|(º-º)|Ubisoft|(º-º)|0,13|(º-º)|0,06|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Shining Hearts|(º-º)|PSP|(º-º)|2010|(º-º)|Role-Playing|(º-º)|Sega|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
Hot Wheels: Track Attack|(º-º)|Wii|(º-º)|2010|(º-º)|Racing|(º-º)|THQ|(º-º)|0,15|(º-º)|0,04|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Schlag den Raab|(º-º)|Wii|(º-º)|2010|(º-º)|Misc|(º-º)|Namco Bandai Games|(º-º)|0|(º-º)|0,17|(º-º)|0|(º-º)|0,03|(º-º)|0,2
DanceDanceRevolution|(º-º)|PS3|(º-º)|2010|(º-º)|Simulation|(º-º)|Konami Digital Entertainment|(º-º)|0,12|(º-º)|0,05|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Jikkyou Powerful Pro Yakyuu 2010|(º-º)|PSP|(º-º)|2010|(º-º)|Sports|(º-º)|Konami Digital Entertainment|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
WWE All Stars|(º-º)|Wii|(º-º)|2011|(º-º)|Fighting|(º-º)|THQ|(º-º)|0,11|(º-º)|0,07|(º-º)|0|(º-º)|0,02|(º-º)|0,2
You Don't Know Jack|(º-º)|X360|(º-º)|2011|(º-º)|Misc|(º-º)|THQ|(º-º)|0,19|(º-º)|0|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Frogger 3D|(º-º)|3DS|(º-º)|2011|(º-º)|Action|(º-º)|Konami Digital Entertainment|(º-º)|0,16|(º-º)|0,03|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Two Worlds II|(º-º)|PC|(º-º)|2011|(º-º)|Role-Playing|(º-º)|Unknown|(º-º)|0,09|(º-º)|0,09|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Major League Baseball 2K11|(º-º)|PS3|(º-º)|2011|(º-º)|Sports|(º-º)|Take-Two Interactive|(º-º)|0,15|(º-º)|0,03|(º-º)|0|(º-º)|0,02|(º-º)|0,2
Just Dance 2: Extra Songs|(º-º)|Wii|(º-º)|2011|(º-º)|Misc|(º-º)|Ubisoft|(º-º)|0|(º-º)|0,17|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Warhammer 40,000: Space Marine|(º-º)|PC|(º-º)|2011|(º-º)|Shooter|(º-º)|THQ|(º-º)|0,09|(º-º)|0,09|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Arcana Heart 3|(º-º)|PS3|(º-º)|2011|(º-º)|Fighting|(º-º)|PQube|(º-º)|0,04|(º-º)|0,05|(º-º)|0,1|(º-º)|0,02|(º-º)|0,2
Jillian Michaels' Fitness Adventure|(º-º)|X360|(º-º)|2011|(º-º)|Misc|(º-º)|505 Games|(º-º)|0,17|(º-º)|0,02|(º-º)|0|(º-º)|0,01|(º-º)|0,2
Earth Defense Force: Insect Armageddon|(º-º)|PS3|(º-º)|2011|(º-º)|Shooter|(º-º)|D3Publisher|(º-º)|0,06|(º-º)|0,04|(º-º)|0,08|(º-º)|0,02|(º-º)|0,2
Way of the Samurai 4|(º-º)|PS3|(º-º)|2011|(º-º)|Action|(º-º)|Nippon Ichi Software|(º-º)|0|(º-º)|0,03|(º-º)|0,16|(º-º)|0,01|(º-º)|0,2
Captain America: Super Soldier|(º-º)|PS3|(º-º)|2011|(º-º)|Action|(º-º)|Sega|(º-º)|0,1|(º-º)|0,07|(º-º)|0|(º-º)|0,03|(º-º)|0,2
Camping Mama: Outdoor Adventures|(º-º)|DS|(º-º)|2011|(º-º)|Simulation|(º-º)|505 Games|(º-º)|0,13|(º-º)|0,06|(º-º)|0|(º-º)|0,02|(º-º)|0,2
7th Dragon 2020|(º-º)|PSP|(º-º)|2011|(º-º)|Role-Playing|(º-º)|Sega|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
The Legend of Heroes VII: The Trail of Blue|(º-º)|PSP|(º-º)|2011|(º-º)|Role-Playing|(º-º)|Falcom Corporation|(º-º)|0|(º-º)|0|(º-º)|0,2|(º-º)|0|(º-º)|0,2
